collocation,mle_rank,pmi_rank,tscore_rank,dice_rank,ll_rank,rank_av,rank_nor,rank_opt
ngăn mát,3235.0,1657.0,3235.0,2758.0,2200.0,2617.0,2219.2079044543043,2617.0
cuốn sách,719.0,3350.0,407.0,3061.0,1242.0,1755.8,1488.9129685291814,1755.8
cây cơm,2587.0,925.0,2584.0,1535.0,1617.0,1849.6,1568.4550783640357,1849.6
bột vô_trùng,2064.0,1153.0,2037.0,1777.0,1346.0,1675.4,1420.7340172421634,1675.4
trà bồ_công_anh,941.0,2033.0,791.0,1574.0,927.0,1253.2,1062.7097232946635,1253.2
yếu_tố dịch_tễ,941.0,1743.0,856.0,729.0,875.0,1028.8,872.4192174637326,1028.8
cảm_giác choáng_váng,1734.0,1118.0,1733.0,164.0,0.0,1187.25,1187.25,1187.25
mỹ_phẩm may,1122.0,3376.0,948.0,3170.0,0.0,2154.0,2154.0,2154.0
bề_mặt phẳng,1265.0,2821.0,1155.0,2211.0,1304.0,1751.2,1485.0121827590285,1751.2
vô_sinh nam,941.0,2144.0,858.0,714.0,0.0,1164.25,1164.25,1164.25
âm_đạo đủ,1535.0,835.0,1491.0,1269.0,859.0,1197.8,1015.7306946715191,1197.8
củ dền,387.0,2871.0,93.0,1571.0,0.0,1230.5,1230.5,1230.5
quả táo,1265.0,2517.0,1185.0,1418.0,0.0,1596.25,1596.25,1596.25
đài_phát_thanh sỏi,2927.0,2925.0,2921.0,3119.0,0.0,2973.0,2973.0,2973.0
nữ mãn_kinh,2650.0,2443.0,2637.0,2761.0,1894.0,2477.0,2100.488337536611,2477.0
quanh hố,1832.0,1975.0,1802.0,1045.0,0.0,1663.5,1663.5,1663.5
tổn_thương u,719.0,520.0,629.0,441.0,337.0,529.2,448.7599629488796,529.2
loạn_sắc thị,2498.0,2424.0,2482.0,2393.0,1831.0,2325.6,1972.101605884192,2325.6
hi cô,387.0,3129.0,51.0,2167.0,0.0,1433.5,1433.5,1433.5
mẫu câu,2498.0,2394.0,2481.0,2529.0,1818.0,2344.0,1987.704748964803,2344.0
kiểm_soát ý_thức,1122.0,2235.0,986.0,2116.0,1043.0,1500.4,1272.3345585950472,1500.4
nguyên_tắc cơ_bản,387.0,310.0,243.0,473.0,174.0,317.4,269.15421814054116,317.4
kỹ_thuật vô_trùng,2980.0,1851.0,2977.0,2609.0,2023.0,2488.0,2109.816303508716,2488.0
đường_cong chuẩn,1122.0,2336.0,1041.0,1058.0,0.0,1389.25,1389.25,1389.25
tình_hình bệnh_tật,2121.0,2111.0,2080.0,2341.0,1577.0,2046.0,1735.0016708114279,2046.0
thuốc_độc bảng,3423.0,2045.0,3423.0,3453.0,0.0,3086.0,3086.0,3086.0
cuốn cẩm_nang,387.0,3417.0,12.0,3161.0,0.0,1744.25,1744.25,1744.25
đồng hợp_tử,3383.0,2228.0,3383.0,3301.0,2317.0,2922.4,2478.186159716186,2922.4
bào quan,3090.0,2058.0,3089.0,2652.0,2116.0,2601.0,2205.639953949425,2601.0
khối_u to,719.0,47.0,696.0,99.0,32.0,318.6,270.1718144284071,318.6
động_tác tay,1433.0,1218.0,1422.0,129.0,0.0,1050.5,1050.5,1050.5
khoa thấp_khớp,387.0,2191.0,78.0,1706.0,693.0,1011.0,857.3248725270545,1011.0
hòn sỏi,387.0,2925.0,82.0,1687.0,0.0,1270.25,1270.25,1270.25
quả đu_đủ,387.0,2517.0,166.0,914.0,0.0,996.0,996.0,996.0
thể_trạng chung,387.0,1133.0,218.0,587.0,469.0,558.8,473.86067138290605,558.8
hoa oải,2633.0,2561.0,2616.0,2447.0,0.0,2564.25,2564.25,2564.25
cao_nhân sâm,1265.0,3396.0,1125.0,3258.0,0.0,2261.0,2261.0,2261.0
bệnh_viện phụ_sản,719.0,1757.0,666.0,258.0,0.0,850.0,850.0,850.0
trái măng_cụt,941.0,3189.0,753.0,2542.0,0.0,1856.25,1856.25,1856.25
toàn trạng,941.0,1824.0,778.0,1761.0,852.0,1231.2,1044.0537913504545,1231.2
dương tương_tự,3238.0,1146.0,3236.0,2591.0,2149.0,2472.0,2096.2483530038367,2472.0
nhân_viên y_tế,3264.0,814.0,3264.0,1716.0,2179.0,2247.4,1905.7882477915948,2247.4
bệnh_lý van,1535.0,494.0,1509.0,803.0,652.0,998.6,846.8097108857731,998.6
u bạch_huyết,1535.0,44.0,1530.0,123.0,46.0,655.6,555.9467719374253,655.6
đơn_vị hoạt_lực,2216.0,2532.0,2191.0,2077.0,0.0,2254.0,2254.0,2254.0
khoang mạch_máu,719.0,126.0,692.0,118.0,95.0,350.0,296.7989172942325,350.0
hạt vi,941.0,320.0,897.0,379.0,263.0,560.0,474.87826767077206,560.0
nghiên_cứu mới,1122.0,131.0,1100.0,303.0,145.0,560.2,475.04786705208306,560.2
cuối hồi,1122.0,460.0,1074.0,670.0,434.0,752.0,637.6936737293224,752.0
công_việc chân_tay,2414.0,3282.0,2396.0,3276.0,0.0,2842.0,2842.0,2842.0
thai_nhi nữ,2543.0,2939.0,2524.0,2865.0,0.0,2717.75,2717.75,2717.75
vết_thương sâu,941.0,716.0,835.0,1041.0,495.0,805.6,683.1463079206678,805.6
dòng khí,719.0,77.0,695.0,104.0,58.0,330.6,280.3477773070665,330.6
kích_thước bướu,1832.0,2642.0,1755.0,2311.0,1515.0,2011.0,1705.3217790820047,2011.0
lòng_trắng trứng,2676.0,2157.0,2673.0,2091.0,0.0,2399.25,2399.25,2399.25
dầu dừa,1433.0,2068.0,1335.0,1493.0,1213.0,1508.4,1279.1185338474868,1508.4
thời_tiết mưa,2064.0,3045.0,2013.0,2831.0,1724.0,2335.4,1980.4119755684305,2335.4
tuần_lễ cuối,1832.0,1906.0,1809.0,981.0,0.0,1632.0,1632.0,1632.0
kẽ tay,3040.0,944.0,3038.0,1536.0,1964.0,2104.4,1784.524690154237,2104.4
xơ_hoá_thể hang,2765.0,2774.0,2756.0,2825.0,0.0,2780.0,2780.0,2780.0
khoảng_cách đều_đặn,941.0,1878.0,788.0,1588.0,874.0,1213.8,1029.2986451763984,1213.8
sợi mềm,387.0,139.0,331.0,197.0,87.0,228.2,193.5128940758396,228.2
tính_chất trơ,1265.0,1488.0,1228.0,603.0,1007.0,1118.2,948.2301409097453,1118.2
tinh_thần thoải_mái,1122.0,3350.0,950.0,3073.0,0.0,2123.75,2123.75,2123.75
ký_sinh đơn_bào,1658.0,2967.0,1546.0,2751.0,1496.0,2083.6,1766.886354497894,2083.6
gai thị,3305.0,2484.0,3305.0,3256.0,2284.0,2926.8,2481.917346105028,2926.8
tiền_thân hồng_cầu,1433.0,1310.0,1361.0,1108.0,994.0,1241.2,1052.533760416004,1241.2
đơn nhân,3318.0,1937.0,3317.0,3063.0,2269.0,2780.8,2358.1097977480053,2780.8
lao cột_sống,719.0,698.0,556.0,940.0,419.0,666.4,565.1051385282187,666.4
khối sùi,387.0,478.0,203.0,654.0,251.0,394.6,334.61957932658333,394.6
mề day,387.0,3384.0,17.0,3005.0,0.0,1698.25,1698.25,1698.25
biên tương_đối,2260.0,2706.0,2228.0,2598.0,1738.0,2306.0,1955.480866515715,2306.0
sinh_thiết tuyến_tiền_liệt,387.0,475.0,226.0,547.0,249.0,376.8,319.5252343899052,376.8
tổng năng_lượng,387.0,1495.0,94.0,1530.0,557.0,812.6,689.0822862665525,812.6
phần_tử lạ,3227.0,2576.0,3226.0,3177.0,0.0,3051.5,3051.5,3051.5
kháng_nguyên đặc_hiệu,2178.0,2353.0,2134.0,2430.0,1625.0,2144.0,1818.105367653813,2144.0
điều_kiện thuận_lợi,2393.0,558.0,2380.0,1376.0,1325.0,1606.4,1362.2222306898718,1606.4
niêm_mạc âm_đạo,2322.0,956.0,2308.0,1773.0,1447.0,1761.2,1493.492151824578,1761.2
tác_động bất_lợi,3040.0,2658.0,3032.0,3006.0,2120.0,2771.2,2349.9690274450777,2771.2
u tinh,719.0,122.0,709.0,49.0,93.0,338.4,286.9621531781951,338.4
cây nam,1891.0,147.0,1882.0,554.0,323.0,959.4,813.5682321488191,959.4
bọng nước_ngoài,2518.0,3259.0,2499.0,3294.0,0.0,2892.5,2892.5,2892.5
cảm_thông thường,1265.0,3099.0,1145.0,2472.0,0.0,1995.25,1995.25,1995.25
màu tóc,387.0,14.0,382.0,7.0,3.0,158.6,134.49230937961508,158.6
tuyến nước_bọt,3348.0,1082.0,3347.0,2371.0,2258.0,2481.2,2104.049924544142,2481.2
nguồn_gốc thực_vật,1433.0,806.0,1381.0,799.0,785.0,1040.8,882.595180342392,1040.8
tạng rỗng,719.0,3076.0,427.0,2611.0,1057.0,1578.0,1338.1391185437112,1578.0
mủ âm_đạo,941.0,213.0,900.0,345.0,193.0,518.4,439.6015963580861,518.4
phản_xạ nguyên_phát,719.0,808.0,529.0,1064.0,460.0,716.0,607.1657850933443,716.0
thiết_bị y_tế,2999.0,489.0,2998.0,873.0,1813.0,1834.4,1555.5655253844004,1834.4
